Host City,Host Country
Barcelona,ESP
London,GBR
Antwerpen,BEL
Paris,FRA
Calgary,CAN
Albertville,FRA
Lillehammer,NOR
Los Angeles,USA
Salt Lake City,USA
Helsinki,FIN
Lake Placid,USA
Sydney,AUS
Atlanta,USA
Stockholm,SWE
Sochi,RUS
Nagano,JPN
Torino,ITA
Beijing,CHN
Rio de Janeiro,BRA
Athina,GRE
Squaw Valley,USA
Innsbruck,SUI
Sarajevo,YUG
Mexico City,MEX
Munich,GDR
Seoul,KOR
Berlin,GER
Oslo,NOR
Cortina d'Ampezzo,ITA
Melbourne,AUS
Roma,ITA
Amsterdam,NED
Montreal,CAN
Moskva,URS
Tokyo,JPN
Vancouver,CAN
Grenoble,FRA
Sapporo,JPN
Chamonix,FRA
St. Louis,USA
Sankt Moritz,SUI
Garmisch-Partenkirchen,GER
